No,Item/Function,Failure Mode,Effects of Failure,Potential Cause(s),Severity (S),Occurrence (O),Detection (D),RPN,Recommended Actions, RPN After
1,CT Gantry Rotation,Rotation failure,Image acquisition stops,Motor wear  ,8,5,6,240,Schedule motor maintenance,5-3-4=60
2,CT Gantry Rotation,Rotation speed unstable,Image artifacts,Vibration,7,5,6,210,Tighten bearing+balancing,5-4-4=80
3,CT Gantry Rotation,No rotation start,Scan aborted,Control board fault,9,3,5,135,Replace control PCB,7-2-3=42
4,CT Gantry Rotation,Over-rotation noise,Long-term wear,Bearing dry,5,6,7,210,Lubrication routine,4-3-4=48
5,CT Gantry Rotation,Jerky rotation,Image streak,Loose belt,7,6,5,210,Retension belt,5-3-3=45
6,CT Gantry Motor,Motor overheating,System shutoff,Bad cooling,8,4,6,192,Improve cooling fan,6-2-3=36
7,CT Gantry Motor,Motor not power up,Unable to scan,Power loss,9,3,4,108,Check PSU,6-2-2=24
8,Slip Ring,Signal drop,Image freeze,Dust buildup,7,4,7,196,Clean slip ring,5-2-4=40
9,Slip Ring,Data noise,Artifacts,Oxidation,6,5,6,180,Clean+apply coating,4-3-3=36
10,Slip Ring,Power dropout,System reboot,Wear-out,8,3,5,120,Replace contacts,5-2-3=30
11,Gantry Cover,Crack on panel,Safety risk,Impact,5,2,5,50,Replace cover,3-1-2=6
12,Gantry Cover,Vibration noise,Discomfort,Loose screws,3,5,6,90,Tighten screws,2-2-3=12
13,Gantry Tilt,Tilt not moving,Positioning error,Motor jam,7,3,6,126,Service motor,5-2-3=30
14,Gantry Tilt,Unlevel patient,Scan inaccurate,Sensor miscal,8,3,6,144,Recalibrate sensor,6-2-3=36
15,Gantry Tilt,Slow movement,Delay,Weak motor,4,5,5,100,Motor replacement,3-3-2=18
16,Gantry Position Sensor,Wrong angle,Reconstruction error,Sensor drift,9,3,6,162,Recalibrate quarterly,6-2-3=36
17,Gantry Sensor,No reading,Scan disabled,Cable fault,8,3,5,120,Check wiring,5-2-2=20
18,Gantry Motion Control,Stall during scan,Mid-scan abort,Software bug,8,2,6,96,Firmware update,5-1-3=15
19,Gantry Motion Control,Random stop,Patient risk,EMI noise,9,2,7,126,Shielding improvement,6-1-3=18
20,Gantry Safety Interlock,Door open fail safe not working,Operator hazard,Switch fail,10,2,7,140,Replace switch,8-1-3=24
21,X-ray Tube,Filament burnout,No X-ray output,Aging,10,4,3,120,Tube replacement,8-2-2=32
22,X-ray Tube,Anode pitting,Reduced dose,Long-term heat,8,5,6,240,Monitor usage cycle,6-3-4=72
23,X-ray Tube,Arcing,Shutdown/Fire risk,Contamination,10,3,7,210,Regular cleaning,8-1-3=24
24,X-ray Tube,Overheating,Thermal trip,Cooling fail,9,4,6,216,Enhance cooling,6-2-3=36
25,X-ray Tube,Low radiation output,Underexposure,Filament wear,8,5,7,280,Replace filament,6-3-3=54
26,X-ray Tube,No beam start,Scan cancels,Power supply damage,9,3,5,135,Check HV PSU,6-2-2=24
27,X-ray Tube Cooling,Water pump fail,Tube overheats,Pump jam,9,4,6,216,Replace pump,6-2-3=36
28,X-ray Tube Cooling,Low coolant,Auto shutdown,Leakage,8,4,7,224,Check reservoir weekly,5-2-3=30
29,X-ray Tube Cooling,Fan failure,Thermal trip,Dust/clog,7,5,6,210,Clean fan filters,4-2-3=24
30,Heat Exchanger,Low efficiency,Tube overheats,Scaling,9,3,6,162,Periodic descaling,6-1-2=12
